VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of the owner or the outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Various remarks
GK084,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Vrouw Johanna Cores,Jan Tuijnman,Middelburgse Commercie Compagnie,1,,11117,Middelburg,,,1762-03-16,,,,,303,259,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK085,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Vrouw Johanna Cores,Willem de Molder,Middelburgse Commercie Compagnie,1,,11118,Middelburg,,,1763-12-18,,,,1765-07-01,271,203,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK086,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Vrouw Johanna Cores,,Middelburgse Commercie Compagnie,1,,11119,Middelburg,,,1768-06-15,,,,,249,218,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds. Ship also carried bills of exchange for the account of MCC-vessel Haast U Langzaam."
GK087,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Vrouw Johanna Cores,Jan Sap,Middelburgse Commercie Compagnie,1,,11120,Middelburg,,,1769-01-05,,,,1770-06-12,226,215,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK088,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Vrouw Johanna Cores,Jan Sap,Middelburgse Commercie Compagnie,1,,11121,Middelburg,,,1771-05-14,,,,1772-09-29,212,148,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK089,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Watergeus,Adriaan Chatelain,Middelburgse Commercie Compagnie,1,,11125,Middelburg,,,1773-12-08,,,,1775-03-30,375,347,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds. Ship ledger is missing from archive. Voyage data reconstructed from general ledger."
GK090,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Welmeenende,Cornelis van Haijen,Middelburgse Commercie Compagnie,1,,11132,Middelburg,,,1769-07-04,,,,,196,194,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK091,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Welmeenende,Cornelis van Haijen,Middelburgse Commercie Compagnie,1,,11133,Middelburg,,,,,,,,261,239,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK092,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Welmeenende,Cornelis van Haijen,Middelburgse Commercie Compagnie,1,,11134,Middelburg,,,,,,,,203,192,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK093,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zanggodin,Jan van Sprang,Middelburgse Commercie Compagnie,1,,11178,Middelburg,,,1768-09-29,,,,1770-06-12,67,45,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK094,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zanggodin,Jan van Sprang,Middelburgse Commercie Compagnie,1,,11179,Middelburg,,,1770-10-21,,,,1772-04-14,162,153,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds. Some of the ivory sold was not acquired on this voyage and has been subtracted from the proceeds of the sale."
GK095,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zanggodin,Ibbe Henrich Hoff,Middelburgse Commercie Compagnie,1,,11180,Middelburg,,,1773-04-26,,,,,127,101,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK096,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zeemercuur,Cornelis van Kakom,Middelburgse Commercie Compagnie,1,,11182,Middelburg,,,1787-12-22,,,,1790-05-01,270,98,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds. MCC got a reimbursement of WIC recognition fee after voyage (deducted from other expenses on return). Ship suffered disease outbreak."
GK097,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zeemercuur,George Christoffel Zill,Middelburgse Commercie Compagnie,1,,11183,Middelburg,,,1791-12-17,,,,,174,170,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
GK098,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",,Zorg,Johannes Noordhoek,Middelburgse Commercie Compagnie,1,,11210,Middelburg,,,1777-11-15,,,,1779-07-30,246,231,1,yes,yes,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
