VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of investor,Name of outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Fate,Various remarks
KR040,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2 (taken from Joseph Inikori’s 1981 article, table 5)",,,,"Lumley, Thomas",,1,,81512,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR041,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Harriott,,"Lumley, Thomas",,1,,81738,,,,,,,,,,,1,no,no,,,
KR042,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80457,,,,,,,,,,,1,no,no,,,
KR043,Voyage,Klas Rönnbäck,Investor,English,"AE 52 (Joseph Inikori’s 1981 article, table 5)",,Kitty,,,,1,,82183,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR044,Voyage,Klas Rönnbäck,Investor,English,"AE 52 (Joseph Inikori’s 1981 article, table 5)",,Earl of Liverpool,,,,1,,81112,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR045,Voyage,Klas Rönnbäck,Investor,English,"James Rogers accounts TNA C 107/13 (taken from Joseph Inikori’s 1981 article, table 5)",,Sarah,,"Rogers, James",,1,,18120,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR046,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Ranger,,"Tuohy, David",,1,,91274,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR047,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Elliot,,"Tuohy, David",,1,,81248,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR048,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Sally,,"Tuohy, David",,1,,91327,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR049,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Ranger,,"Tuohy, David",,1,,90910,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR050,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Sam,,"Tuohy, David",,1,,91278,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR051,Voyage,Klas Rönnbäck,Investor,English,"Galton 564 (Joseph Inikori’s 1981 article, table 5)",,Perseverence,,"Galton, Samuel",,1,,83068,,,,,,,,,,,1,with estimates,yes,,,"Insurance rates imputed from previous research on insurance rates. Unclear from Inikori whether it really is 83068 in TSTD, slight mismatch in dates, but this is the closest one with this name."
KR052,Voyage,Klas Rönnbäck,Investor,English,"CO 267/21 (Joseph Inikori’s 1981 article, table 5)",,Restoration,,"Stubbs, Robert",,1,,,,,,1787,,,,,,,1,with estimates,yes,,4,Insurance rates imputed from previous research on insurance rates. Cannot find matching entry in TSTD.
KR053,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland, via Stanley Dumbell’s article",,Louisa,,,,1,,82394,,,,,,,,,,,1,with estimates,with estimates,,,
NR001,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Chesterfield,,"Davenport, William",John Williamson,1,,90542,,Calabar,,1757-07-21,,,,,,,0.125,yes,yes,0.42,,
NR002,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Calveley,,"Davenport, William",William Davenport,1,,90745,,Cameroons,,1758-09-28,,,,,,,0.166667,yes,yes,0.11,,
NR003,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Chesterfield,,"Davenport, William",John Williamson,1,,90777,,Calabar,,1759-04-04,,,,,,,0.0625,yes,yes,0.07,,
NR004,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Eadith,,"Davenport, William",John Williamson,1,,90873,,Bassa,,1760-07-11,,,,,,,0.083333,yes,yes,0.07,,
NR005,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Tyrrell,,"Davenport, William",John Maine,1,,90858,,Calabar,,1761-02-03,,,,,,,0.0625,yes,yes,-0.26,,
NR006,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Eadith,,"Davenport, William",William Davenport,1,,90874,,Gambia,,1761-11-09,,,,,,,0.166667,yes,yes,0.14,,
NR007,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,90906,,Bonny,,1762-07-12,,,,,,,0.166667,with estimates,yes,-0.18,,
NR008,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91016,,Calabar,,1762-10-22,,,,,,,0.25,with estimates,yes,0.18,,
NR009,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper,,"Davenport, William",William Dobb,1,,90937,,"Windward Coast, port unspecified",,1762-10-31,,,,,,,0.125,yes,yes,0.29,,
NR010,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Delight,,"Davenport, William",Thomas Rumbold,1,,91066,,"Sierra Leone, port unspecified",,1763-04-11,,,,,,,0.125,yes,yes,0.13,,
NR011,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91017,,Calabar,,1763-10-06,,,,,,,0.1875,yes,yes,0.26,,
NR012,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91038,,Calabar,,1763-10-14,,,,,,,0.083333,yes,yes,0.03,,
NR013,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,90907,,Cameroons,,1764-03-21,,,,,,,0.166667,yes,yes,0.5,,
NR014,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Delight,,"Davenport, William",Thomas Rumbold,1,,91067,,"Sierra Leone, port unspecified",,1764-04-21,,,,,,,0.125,yes,yes,0.01,,
NR015,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Little Britain,,"Davenport, William",William Davenport,1,,91157,,Porto Novo,,1764-06-30,,,,,,,0.1875,with estimates,with estimates,-0.12,,
NR016,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91213,,Gambia,,1764-11-25,,,,,,,0.166667,yes,yes,-0.42,,
NR017,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Sisters,,"Davenport, William",William Earle,1,,92315,,Whydah,,1764-08-28,,,,,,,0.0625,yes,yes,-0.1,,
NR018,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91218,,Calabar,,1765-03-02,,,,,,,0.125,yes,yes,-0.11,,
NR019,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91039,,New Calabar,,1765-04-27,,,,,,,0.083333,yes,yes,0.14,,
NR020,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,91247,,Cameroons,,1765-07-03,,,,,,,0.166667,yes,yes,0.39,,
NR021,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Active,,"Davenport, William",Christopher Hassell,1,,91256,,Calabar,,1765-07-23,,,,,,,0.0625,with estimates,yes,-0.18,,
NR022,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91081,,Cameroons,,1765-09-14,,,,,,,0.125,yes,yes,0.24,,
NR023,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Little Britain,,"Davenport, William",William Davenport,2,,91219 / 91158,,Calabar,,,,,,,,,0.15625,yes,with estimates,0.36,,
NR024,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Good Intent,,"Davenport, William",Christopher Hassell,2,,91360 / 91395,,Calabar,,,,,,,,,0.09375,with estimates,yes,-0.53,,
NR025,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Neptune & Dalrymple,,"Davenport, William",William Davenport,2,,91427 / 91220,,Calabar,,,,,,,,,0.375,yes,yes,0.35,,
NR026,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Fox,,"Davenport, William",Christopher Hassell,2,,91545 / 91553,,Calabar,,,,,,,,,0.0416667,yes,yes,0.29,,
NR027,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91573 / 91594,,Calabar,,,,,,,,,0.125,yes,yes,0.29,,
NR028,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91221 / 91653,,Calabar,,,,,,,,,0.1875,yes,yes,0.7,,
NR029,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Fox,,"Davenport, William",Christopher Hassell,2,,91700 / 91621,,Calabar,,,,,,,,,0.0416667,yes,yes,0.12,,
NR030,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91574 / 91595,,Calabar,,,,,,,,,0.208333,yes,yes,0.29,,
NR031,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Lord Cassils & May,,"Davenport, William",Robert Kennedy,2,,91702 / 91743,,Calabar,,,,,,,,,0.125,yes,yes,-0.05,,
NR032,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91752 / 91790,,Calabar,,,,,,,,,0.1875,yes,yes,0.23,,
NR033,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91575 / 91979,,Calabar,,,,,,,,,0.208333,yes,yes,-0.26,,
NR034,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,"Swift, Dalrymple & Dreadnought",,"Davenport, William",William Davenport,3,,91791 / 91753 / 91837,,Calabar,,,,,,,,,0.125,yes,yes,0.12,,
NR035,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger & Fox,,"Davenport, William",William Davenport,2,,91812 / 91804,,Cameroons,,,,,,,,,0.25,yes,yes,0.46,,
NR036,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91987 / 91792,,Calabar,,,,,,,,,0.25,yes,with estimates,0,,Includes estimates imputed by Nick Radburn
NR037,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Lord Cassils & May,,"Davenport, William",Robert Kennedy,2,,92543 / 91865,,Calabar,,,,,,,,,0.125,yes,yes,-0.54,,
NR038,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91988 / 91793,,Calabar,,,,,,,,,0.25,with estimates,with estimates,0.19,,Includes estimates imputed by Nick Radburn
NR040,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Swift,,"Davenport, William",William Davenport,2,,91576 / 91794,,Calabar,,,,,,,,,0.25,yes,with estimates,0.3,,Includes estimates imputed by Nick Radburn
NR041,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,92589 / 92728,,Calabar,,,,,,,,,0.25,yes,with estimates,0.54,,Includes estimates imputed by Nick Radburn
NR042,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Perseverance & Oronoko,,"Davenport, William",Thomas Earle,2,,83063 / 82973,,Calabar,,,,,,,,,0.1875,with estimates,with estimates,-0.14,,
NR043,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91313,,New Calabar,,1766-07-24,,,,,,,0.083333,yes,with estimates,-0.158567774936061,,
NR044,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91214,,Cameroons,,1766-09-16,,,,,,,0.083333,yes,yes,0.143589743589744,,
NR045,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union [New],,"Davenport, William",William Davenport,1,,91354,,Cameroons,,1767-04-01,,,,,,,0.166667,yes,yes,0.119825708061002,,
NR046,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91082,,Cameroons,,1767-07-13,,,,,,,0.125,yes,yes,-0.283018867924528,,
NR047,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91408,,Cameroons,,1767-10-09,,,,,,,0.125,yes,yes,0.35625,,
NR048,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper [New],,"Davenport, William",John White,1,,91428,,Benin,,1768-03-25,,,,,,,0.125,yes,yes,0.26302729528536,,
NR049,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91215,,Cameroons,,1768-05-18,,,,,,,0.25,yes,with estimates,0.483304042179262,,
NR050,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,91355,,Cameroons,,1768-08-15,,,,,,,0.25,yes,yes,0.0650773195876289,,
NR051,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91083,,Cameroons,,1769-03-21,,,,,,,0.125,with estimates,yes,-0.00864553314121038,,
NR052,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91409,,Cameroons,,1769-04-16,,,,,,,0.125,with estimates,yes,-0.00181818181818182,,
NR053,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91585,,Cameroons,,1769-10-01,,,,,,,0.25,yes,yes,0.190893169877408,,
NR054,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper,,"Davenport, William",John White,1,,91429,,Benin,,1769-10-15,,,,,,,0.125,yes,yes,-0.0122189638318671,,
NR055,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Kildare,,"Davenport, William",Alexander Nottingham,1,,90958,,Bonny,,1770-05-08,,,,,,,0.0625,yes,with estimates,-0.135446685878963,,
NR056,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,True Blue,,"Davenport, William",Christopher Hassell,1,,91643,,Benin,,1770-04-06,,,,,,,0.125,yes,yes,-0.205905826017558,,
NR057,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,91356,,Cameroons,,1770-05-16,,,,,,,0.25,yes,yes,0.316151202749141,,
NR058,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper,,"Davenport, William",Thomas Foxcroft,1,,91430,,Bonny,,1771-07-17,,,,,,,0.125,yes,yes,0.0176348547717842,,
NR059,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Patty,,"Davenport, William",Edward Chaffers,1,,91694,,Windward Coast,,1771-09-17,,,,,,,0.125,yes,yes,0.13745704467354,,
NR060,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91410,,Cameroons,,1771-05-19,,,,,,,0.125,yes,yes,0.506717850287908,,
NR061,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Fox,,"Davenport, William",William Davenport,1,,91803,,Cameroons,,1771-09-17,,,,,,,0.125,with estimates,with estimates,0.189714285714286,,
NR062,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,May,,"Davenport, William",Robert Kennedy,1,,91864,,Calabar,,,,,,,,,0.125,yes,yes,-0.369230769230769,,
NR063,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91892,,Cameroons,,,,,,,,,0.125,yes,yes,0.803921568627451,,
NR064,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Favourite,,"Davenport, William",Alexander Nottingham,1,,91976,,Cameroons,,,,,,,,,0.125,yes,yes,0.448800505050505,,
NR065,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91893,,Cameroons River,,,,,,,,,0.125,yes,yes,0.760910815939279,,
NR066,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King George,,"Davenport, William",William Davenport,1,,92017,,Calabar,,,,,,,,,0.25,yes,yes,-0.608623548922056,,
NR067,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Sam,,"Davenport, William",Thomas Staniforth,1,,91936,,Cameroons,,,,,,,,,0.125,with estimates,with estimates,-0.0647733631785114,,Includes estimates imputed by Nick Radburn
NR068,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Fox,,"Davenport, William",,1,,91805,,Cameroons,,,,,,,,,0.333333,yes,yes,0.215223097112861,,
NR069,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger,,"Davenport, William",William Davenport,1,,91813,,Cameroons,,,,,,,,,0.333333,yes,yes,0.058076225045372,,
NR070,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Favourite,,"Davenport, William",Alexander Nottingham,1,,91977,,Cameroons,,,,,,,,,0.125,yes,yes,0.588374851720047,,
NR071,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dreadnought,,"Davenport, William",Edward Chaffers,1,,91838,,Calabar,,,,,,,,,0.3125,yes,with estimates,0.342809364548495,,Includes estimates imputed by Nick Radburn
NR072,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91894,,Cameroons,,,,,,,,,0.125,yes,with estimates,0.393790849673203,,Includes estimates imputed by Nick Radburn
NR073,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger,,"Davenport, William",William Davenport,1,,91814,,Cameroons,,,,,,,,,0.333333,yes,yes,0.186275570949237,,
NR074,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Sam,,"Davenport, William",Thomas Staniforth,1,,91937,,Cameroons,,,,,,,,,0.125,with estimates,with estimates,-0.256682073954984,,Includes estimates imputed by Nick Radburn
NR075,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Favourite,,"Davenport, William",Alexander Nottingham,1,,91978,,Cameroons,,1775-04-20,,,,,,,0.125,yes,yes,-0.366879769024541,,
NR076,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91895,,Cameroons,,,,,,,,,0.125,with estimates,with estimates,-0.0681139755766621,,Includes estimates imputed by Nick Radburn
NR077,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dreadnought,,"Davenport, William",William Davenport,1,,91839,,Calabar,,,,,,,,,0.375,with estimates,yes,-0.138668740708653,,Includes estimates imputed by Nick Radburn
NR078,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger [New],,"Davenport, William",William Davenport,1,,92536,,Cameroons River,,,,,,,,,0.333333,yes,yes,-0.65,,
NR079,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Mars,,"Davenport, William",William Earle,1,,92461,,Sierra Leone,,,,,,,,,0.1,with estimates,with estimates,0.711755233494364,,Includes estimates imputed by Nick Radburn
NR080,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,92462,,Cameroons River,,,,,,,,,0.1,yes,yes,0.850026997840173,,
NR081,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Ann,,"Davenport, William",,1,,92465,,Windward Coast,,,,,,,,,0.2,with estimates,with estimates,0.178424938474159,,
NR082,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",William Earle,1,,83174,,Cameroons,,,,,,,,,0.2,yes,yes,0.128295619680299,,
NR083,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Mars,,"Davenport, William",William Earle,1,,82482,,Sierra Leone,,,,,,,,,0.2,with estimates,with estimates,0.354390606912518,,Includes estimates imputed by Nick Radburn
NR084,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,81753,,Cameroons,,,,,,,,,0.2,with estimates,yes,1.72941653160454,,Insurance rates imputed from previous research on insurance rates
NR085,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",William Earle,1,,83175,,Cameroons,,,,,,,,,0.2,yes,yes,0.363717445594006,,
NR086,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,81754,,Cameroons,,,,,,,,,0.2,yes,with estimates,-0.366755555555556,,Includes estimates imputed by Nick Radburn
NR087,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Rover,,"Davenport, William",Thomas Staniforth,1,,83413,,Cameroons,,,,,,,,,0.166667,yes,yes,-0.122620005363368,,
NR088,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Quixote,,"Davenport, William",Thomas Parke,1,,83266,,Calabar,,,,,,,,,0.125,yes,with estimates,0.545747048577511,,
NR089,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",Thomas Earle,1,,83176,,Cameroons,,,,,,,,,0.2,with estimates,with estimates,-0.151450053705693,,Includes estimates imputed by Nick Radburn
NR090,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Quixote,,"Davenport, William",Thomas Parke,1,,83267,,Calabar,,,,,,,,,0.125,with estimates,yes,0.0651676277129032,,Includes estimates imputed by Nick Radburn
NR091,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Ann,,"Davenport, William",John Copeland,1,,80251,,Windward Coast,,,,,,,,,0.2,with estimates,with estimates,-0.0519,,
NR093,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Ann,,"Davenport, William",Thomas Earle,1,,80253,,,,,,,,,,,0.25,with estimates,with estimates,0.47,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR094,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Bee,,"Davenport, William",,1,,80458,,,,,,,,,,,0.2,with estimates,yes,0.13,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR095,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Bee,,"Davenport, William",Thomas Parke,1,,82324,,,,,,,,,,,0.1875,with estimates,with estimates,0.72,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR096,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Liverpool Hero,,"Davenport, William",Thomas Parke,1,,82325,,,,,,,,,,,0.125,with estimates,with estimates,0.57,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
DR102,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/13",,Fanny,,"Rogers, James",,1,,18139,,,,1792,,,,,,,1,with estimates,with estimates,,,
DR103,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/26",,Mermaid,,"Rogers, James",,1,,18152,,,,1792,,,,,,,1,with estimates,with estimates,,,
DR104,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/2",,Alexander,,,,1,,17196,,,,1748,,,,,,,1,with estimates,no,,,
DR105,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/3",,Amoretta,,,,1,,17197,,,,1748,,,,,,,1,with estimates,no,,,
DR106,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/4",,Antelope,,,,1,,17198,,,,1748,,,,,,,1,with estimates,no,,,
DR107,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/5",,Bonny,,,,1,,17199,,,,1748,,,,,,,1,with estimates,no,,,
DR108,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/7",,Culloden,,,,1,,17201,,,,1748,,,,,,,1,with estimates,no,,,
DR109,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/11",,Jamaica Pacquet,,,,1,,17205,,,,1748,,,,,,,1,with estimates,no,,,
DR110,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/12",,Jason,,,,1,,17206,,,,1748,,,,,,,1,with estimates,no,,,
DR111,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/14",,Levant,,,,1,,17208,,,,1748,,,,,,,1,with estimates,no,,,
DR112,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/19",,Phoenix,,,,1,,17213,,,,1748,,,,,,,1,with estimates,no,,,
DR113,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/23",,Southwell,,,,1,,17217,,,,1748,,,,,,,1,with estimates,no,,,
